Industry/Size Band,Wave,Stock_levels_are_higher_than_normal,Stock levels are lower than normal ,Prices_increased_more_than_normal,Prices decreased more than normal,Demand increased more than normal,Demand did not increase
Manufacturing,50,0.08,0.26,0.28,0.02,0.13,0.72
"Water supply, sewerage, waste management and remediation activities",50,,,,,,
Construction,50,0.02,0.05,0.23,0.00,0.15,0.70
Wholesale and retail trade; repair of motor vehicles and motorcycles,50,0.18,0.19,0.31,,0.12,0.75
Transportation and storage,50,,0.01,0.05,0.08,0.11,0.55
Accommodation and food service activities,50,0.02,0.29,0.23,,0.07,0.78
Information and communication,50,0.01,,0.06,0.01,0.11,0.70
Real estate activities,50,0.00,0.16,0.11,,0.17,0.64
"Professional, scientific and technical activities",50,0.02,,0.07,0.03,0.18,0.73
Administrative and support service activities,50,,0.04,0.12,0.02,0.17,0.65
Education,50,0.00,,,0.06,0.25,0.73
Human health and social work activities,50,,0.06,,0.00,,
"Arts, entertainment and recreation",50,,0.15,0.13,,0.29,0.58
Other service activities,50,,0.19,0.06,0.00,0.13,0.73
0 - 9,50,0.03,0.10,0.16,0.02,0.14,0.72
10 - 49,50,0.11,0.12,0.23,,0.16,0.68
50 - 99,50,0.16,0.09,0.20,,0.21,0.64
100 -249,50,0.12,0.07,0.18,,0.18,0.64
250 +,50,0.12,0.08,0.14,,0.15,0.59
All size bands excluding 0 - 9,50,0.12,0.12,0.22,,0.17,0.67
All businesses,50,0.04,0.10,0.17,0.01,0.14,0.71
Manufacturing,48,0.08,0.16,0.30,0.02,0.14,0.68
"Water supply, sewerage, waste management and remediation activities",48,,,,,,
Construction,48,0.03,0.05,0.24,0.00,0.16,0.69
Wholesale and retail trade; repair of motor vehicles and motorcycles,48,0.16,0.17,0.30,0.01,0.14,0.71
Transportation and storage,48,,,0.07,0.03,0.03,0.76
Accommodation and food service activities,48,0.07,0.29,0.20,,0.06,0.77
Information and communication,48,,,0.03,0.02,0.11,0.68
Real estate activities,48,0.00,0.03,0.09,0.04,0.18,0.58
"Professional, scientific and technical activities",48,0.04,0.02,0.06,0.02,0.12,0.79
Administrative and support service activities,48,0.02,0.05,0.11,0.03,0.16,0.70
Education,48,,,0.14,0.00,0.26,0.64
Human health and social work activities,48,,0.16,,,0.11,0.81
"Arts, entertainment and recreation",48,,0.09,0.03,0.00,0.20,0.73
Other service activities,48,0.14,0.22,0.16,0.05,,0.88
0 - 9,48,0.05,0.08,0.16,0.02,0.12,0.73
10 - 49,48,0.10,0.17,0.20,,0.15,0.70
50 - 99,48,0.15,0.09,0.17,,0.18,0.68
100 -249,48,0.14,0.08,0.16,0.01,0.16,0.66
250 +,48,0.11,0.08,0.13,,0.14,0.65
All size bands excluding 0 - 9,48,0.11,0.15,0.19,,0.16,0.70
All businesses,48,0.05,0.09,0.16,0.02,0.13,0.73
Manufacturing,46,0.07,0.12,0.25,0.02,0.22,0.68
"Water supply, sewerage, waste management and remediation activities",46,,,,,,
Construction,46,0.05,0.05,0.22,0.00,0.20,0.56
Wholesale and retail trade; repair of motor vehicles and motorcycles,46,0.20,0.16,0.30,0.02,0.19,0.68
Transportation and storage,46,,0.03,0.10,0.00,0.14,0.80
Accommodation and food service activities,46,0.07,0.32,0.27,,0.22,0.65
Information and communication,46,0.02,0.03,0.06,0.03,0.12,0.72
Real estate activities,46,0.05,0.07,0.05,,0.30,0.47
"Professional, scientific and technical activities",46,0.02,,0.06,0.02,0.18,0.71
Administrative and support service activities,46,0.01,0.08,0.14,,0.25,0.66
Education,46,,,,0.13,0.41,0.48
Human health and social work activities,46,0.02,0.02,0.01,0.00,0.22,0.63
"Arts, entertainment and recreation",46,0.01,0.10,0.08,0.02,0.16,0.68
Other service activities,46,,0.18,0.04,0.00,0.05,0.94
0 - 9,46,0.04,0.08,0.16,0.02,0.19,0.68
10 - 49,46,0.13,0.14,0.22,,0.21,0.64
50 - 99,46,0.15,0.09,0.19,,0.25,0.61
100 -249,46,0.13,0.09,0.18,,0.22,0.61
250 +,46,0.12,0.08,0.13,,0.19,0.60
All size bands excluding 0 - 9,46,0.13,0.13,0.21,,0.22,0.63
All businesses,46,0.05,0.09,0.16,0.01,0.19,0.67
Manufacturing,44,0.13,0.23,0.27,,0.19,0.69
"Water supply, sewerage, waste management and remediation activities",44,,,,,,
Construction,44,0.02,0.12,0.21,0.03,0.19,0.65
Wholesale and retail trade; repair of motor vehicles and motorcycles,44,0.16,0.20,0.32,0.02,0.17,0.69
Transportation and storage,44,,0.02,0.19,0.00,0.38,0.49
Accommodation and food service activities,44,0.04,0.17,0.14,,0.19,0.67
Information and communication,44,0.01,0.04,0.04,0.03,0.10,0.74
Real estate activities,44,0.04,0.16,0.08,0.00,0.30,0.56
"Professional, scientific and technical activities",44,0.02,0.02,0.07,0.03,0.18,0.73
Administrative and support service activities,44,0.01,0.04,0.10,0.03,0.24,0.67
Education,44,,,0.07,0.00,0.34,0.64
Human health and social work activities,44,0.05,0.09,0.06,0.00,0.33,0.41
"Arts, entertainment and recreation",44,,0.08,0.07,0.00,0.05,0.81
Other service activities,44,0.07,0.15,0.05,0.00,0.05,0.75
0 - 9,44,0.04,0.10,0.15,0.02,0.19,0.69
10 - 49,44,0.12,0.14,0.20,,0.21,0.63
50 - 99,44,0.16,0.10,0.19,,0.24,0.61
100 -249,44,0.14,0.09,0.17,,0.20,0.63
250 +,44,0.12,0.09,0.12,,0.21,0.57
All size bands excluding 0 - 9,44,0.13,0.13,0.20,,0.22,0.63
All businesses,44,0.05,0.10,0.16,0.02,0.19,0.68
Manufacturing,42,0.17,0.23,0.28,,0.20,0.68
"Water supply, sewerage, waste management and remediation activities",42,,,,,,
Construction,42,,0.11,0.24,0.01,0.21,0.58
Wholesale and retail trade; repair of motor vehicles and motorcycles,42,0.12,0.24,0.29,,0.17,0.65
Transportation and storage,42,,0.02,0.09,0.00,0.25,0.50
Accommodation and food service activities,42,0.08,0.31,0.20,,0.12,0.74
Information and communication,42,0.01,0.02,0.03,0.04,0.17,0.72
Real estate activities,42,0.05,0.06,0.05,0.00,0.28,0.57
"Professional, scientific and technical activities",42,0.01,0.02,0.06,0.02,0.20,0.72
Administrative and support service activities,42,0.02,0.06,0.07,,0.26,0.63
Education,42,0.00,0.06,0.06,0.00,0.32,0.59
Human health and social work activities,42,0.02,0.02,0.01,0.00,,
"Arts, entertainment and recreation",42,0.10,0.09,0.08,0.00,0.17,0.65
Other service activities,42,,,,,,
0 - 9,42,0.04,0.10,0.15,,0.18,0.67
10 - 49,42,0.13,0.14,0.18,,0.21,0.63
50 - 99,42,0.14,0.10,0.16,,0.23,0.61
100 -249,42,0.12,0.11,0.15,,0.23,0.60
250 +,42,0.10,0.09,0.11,,0.21,0.54
All size bands excluding 0 - 9,42,0.13,0.13,0.18,,0.21,0.63
All businesses,42,0.05,0.10,0.15,,0.19,0.66
Manufacturing,31,0.08,0.11,0.09,,0.16,0.74
"Water supply, sewerage, waste management and remediation activities",31,,,,,,
Construction,31,0.01,0.06,0.08,0.03,0.16,0.63
Wholesale and retail trade; repair of motor vehicles and motorcycles,31,0.08,0.21,0.18,0.01,0.14,0.68
Transportation and storage,31,,0.03,,,0.11,0.78
